Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Pushkino-Taldom-Hot'kovo	28/08/2005 14:24:57 	4:57:56	296 km	60 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N55 59.499 E37 52.405	28/08/2005 14:42:02 	140 m			21 m	0:00:10	8 kph	194° true
Trackpoint	N55 59.493 E37 52.402	28/08/2005 14:42:09 	140 m			12 m	0:00:07	6 kph	193° true
Trackpoint	N55 59.474 E37 52.394	28/08/2005 14:42:19 	140 m			36 m	0:00:10	13 kph	194° true
Trackpoint	N55 59.443 E37 52.380	28/08/2005 14:42:33 	140 m			60 m	0:00:14	15 kph	194° true
Trackpoint	N55 59.424 E37 52.372	28/08/2005 14:42:42 	140 m			37 m	0:00:09	15 kph	193° true
Trackpoint	N55 59.413 E37 52.368	28/08/2005 14:42:49 	140 m			21 m	0:00:07	11 kph	192° true
Trackpoint	N55 59.395 E37 52.360	28/08/2005 14:42:59 	140 m			33 m	0:00:10	12 kph	194° true
Trackpoint	N55 59.385 E37 52.355	28/08/2005 14:43:07 	140 m			21 m	0:00:08	9 kph	194° true
Trackpoint	N55 59.368 E37 52.347	28/08/2005 14:43:17 	141 m			31 m	0:00:10	11 kph	195° true
Trackpoint	N55 59.354 E37 52.341	28/08/2005 14:43:22 	141 m			28 m	0:00:05	20 kph	195° true
Trackpoint	N55 59.334 E37 52.332	28/08/2005 14:43:28 	142 m			37 m	0:00:06	22 kph	194° true
Trackpoint	N55 59.316 E37 52.323	28/08/2005 14:43:32 	143 m			35 m	0:00:04	32 kph	194° true
Trackpoint	N55 59.282 E37 52.308	28/08/2005 14:43:37 	145 m			65 m	0:00:05	47 kph	194° true
Trackpoint	N55 59.232 E37 52.286	28/08/2005 14:43:44 	147 m			95 m	0:00:07	49 kph	194° true
Trackpoint	N55 59.159 E37 52.253	28/08/2005 14:43:53 	150 m			141 m	0:00:09	56 kph	194° true
Trackpoint	N55 59.085 E37 52.215	28/08/2005 14:44:01 	153 m			143 m	0:00:08	64 kph	196° true
Trackpoint	N55 59.020 E37 52.162	28/08/2005 14:44:08 	156 m			133 m	0:00:07	68 kph	204° true
Trackpoint	N55 58.966 E37 52.097	28/08/2005 14:44:14 	157 m			121 m	0:00:06	73 kph	214° true
Trackpoint	N55 58.923 E37 52.029	28/08/2005 14:44:19 	157 m			106 m	0:00:05	76 kph	222° true
Trackpoint	N55 58.878 E37 51.935	28/08/2005 14:44:25 	157 m			129 m	0:00:06	77 kph	229° true
Trackpoint	N55 58.862 E37 51.895	28/08/2005 14:44:28 	157 m			51 m	0:00:03	61 kph	234° true
Trackpoint	N55 58.856 E37 51.856	28/08/2005 14:44:32 	157 m			42 m	0:00:04	38 kph	255° true
