Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Пушкино - Кимры	09/10/2005 11:17:01 	4:59:15	306 km	61 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N56 08.426 E37 46.030	09/10/2005 11:38:02 	198 m			343 m	0:00:14	88 kph	309° true
Trackpoint	N56 08.589 E37 45.691	09/10/2005 11:38:21 	197 m			463 m	0:00:19	88 kph	311° true
Trackpoint	N56 08.757 E37 45.349	09/10/2005 11:38:43 	191 m			471 m	0:00:22	77 kph	312° true
Trackpoint	N56 08.800 E37 45.166	09/10/2005 11:38:54 	188 m			206 m	0:00:11	67 kph	293° true
Trackpoint	N56 08.816 E37 45.082	09/10/2005 11:38:59 	187 m			92 m	0:00:05	66 kph	289° true
Trackpoint	N56 08.872 E37 44.999	09/10/2005 11:39:07 	187 m			134 m	0:00:08	60 kph	321° true
Trackpoint	N56 08.909 E37 44.991	09/10/2005 11:39:11 	189 m			69 m	0:00:04	62 kph	353° true
Trackpoint	N56 09.109 E37 45.023	09/10/2005 11:39:31 	197 m			373 m	0:00:20	67 kph	5° true
Trackpoint	N56 09.214 E37 45.004	09/10/2005 11:39:43 	198 m			195 m	0:00:12	59 kph	354° true
Trackpoint	N56 09.253 E37 44.998	09/10/2005 11:39:55 	199 m			73 m	0:00:12	22 kph	355° true
Trackpoint	N56 09.268 E37 44.964	09/10/2005 11:40:00 	201 m			44 m	0:00:05	32 kph	307° true
Trackpoint	N56 09.294 E37 44.770	09/10/2005 11:40:11 	212 m			205 m	0:00:11	67 kph	283° true
Trackpoint	N56 09.330 E37 44.490	09/10/2005 11:40:28 	215 m			297 m	0:00:17	63 kph	283° true
Trackpoint	N56 09.380 E37 44.106	09/10/2005 11:40:47 	211 m			408 m	0:00:19	77 kph	283° true
Trackpoint	N56 09.420 E37 43.790	09/10/2005 11:40:59 	194 m			334 m	0:00:12	100 kph	283° true
Trackpoint	N56 09.491 E37 43.318	09/10/2005 11:41:13 	192 m			505 m	0:00:14	130 kph	285° true
Trackpoint	N56 09.632 E37 42.733	09/10/2005 11:41:31 	188 m			660 m	0:00:18	132 kph	293° true
Trackpoint	N56 09.774 E37 42.152	09/10/2005 11:41:50 	207 m			655 m	0:00:19	124 kph	294° true
Trackpoint	N56 09.837 E37 41.890	09/10/2005 11:42:02 	206 m			295 m	0:00:12	89 kph	294° true
Trackpoint	N56 09.910 E37 41.595	09/10/2005 11:42:18 	195 m			333 m	0:00:16	75 kph	294° true
Trackpoint	N56 10.016 E37 41.164	09/10/2005 11:42:43 	202 m			486 m	0:00:25	70 kph	294° true
Trackpoint	N56 10.090 E37 40.864	09/10/2005 11:42:57 	206 m			339 m	0:00:14	87 kph	294° true
Trackpoint	N56 10.194 E37 40.438	09/10/2005 11:43:12 	203 m			481 m	0:00:15	116 kph	294° true
Trackpoint	N56 10.377 E37 39.690	09/10/2005 11:43:35 	219 m			843 m	0:00:23	132 kph	294° true
Trackpoint	N56 10.548 E37 38.984	09/10/2005 11:43:58 	212 m			796 m	0:00:23	125 kph	294° true
Trackpoint	N56 10.726 E37 38.254	09/10/2005 11:44:22 	192 m			822 m	0:00:24	123 kph	294° true
Trackpoint	N56 10.845 E37 37.763	09/10/2005 11:44:40 	188 m			553 m	0:00:18	111 kph	294° true
Trackpoint	N56 10.992 E37 37.160	09/10/2005 11:45:04 	207 m			681 m	0:00:24	102 kph	294° true
Trackpoint	N56 11.053 E37 36.850	09/10/2005 11:45:17 	211 m			339 m	0:00:13	94 kph	289° true
Trackpoint	N56 11.055 E37 36.838	09/10/2005 11:45:18 	212 m			14 m	0:00:01	49 kph	289° true
Trackpoint	N56 11.145 E37 36.993	09/10/2005 11:45:37 	210 m			231 m	0:00:19	44 kph	44° true
Trackpoint	N56 11.226 E37 37.221	09/10/2005 11:45:50 	205 m			279 m	0:00:13	77 kph	57° true
Trackpoint	N56 11.393 E37 37.641	09/10/2005 11:46:12 	188 m			533 m	0:00:22	87 kph	54° true
