Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	МКАД - M9 - Новый Иерусалим	04/03/2006 12:56:46 	0:55:06	63.0 km	69 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N55 48.059 E37 19.612	04/03/2006 13:09:59 	137 m			256 m	0:00:09	102 kph	282° true
Trackpoint	N55 48.098 E37 19.376	04/03/2006 13:10:08 	140 m			257 m	0:00:09	103 kph	287° true
Trackpoint	N55 48.154 E37 19.114	04/03/2006 13:10:18 	145 m			292 m	0:00:10	105 kph	291° true
Trackpoint	N55 48.203 E37 18.881	04/03/2006 13:10:27 	147 m			260 m	0:00:09	104 kph	291° true
Trackpoint	N55 48.226 E37 18.729	04/03/2006 13:10:33 	150 m			164 m	0:00:06	98 kph	285° true
Trackpoint	N55 48.234 E37 18.602	04/03/2006 13:10:38 	153 m			133 m	0:00:05	96 kph	277° true
Trackpoint	N55 48.239 E37 18.420	04/03/2006 13:10:45 	157 m			190 m	0:00:07	97 kph	273° true
Trackpoint	N55 48.241 E37 18.174	04/03/2006 13:10:54 	159 m			257 m	0:00:09	103 kph	271° true
Trackpoint	N55 48.239 E37 17.980	04/03/2006 13:11:01 	159 m			203 m	0:00:07	104 kph	269° true
Trackpoint	N55 48.228 E37 17.846	04/03/2006 13:11:06 	160 m			141 m	0:00:05	102 kph	262° true
Trackpoint	N55 48.208 E37 17.712	04/03/2006 13:11:11 	160 m			144 m	0:00:05	104 kph	255° true
Trackpoint	N55 48.175 E37 17.550	04/03/2006 13:11:17 	159 m			180 m	0:00:06	108 kph	250° true
Trackpoint	N55 48.124 E37 17.339	04/03/2006 13:11:25 	154 m			239 m	0:00:08	108 kph	247° true
Trackpoint	N55 48.082 E37 17.192	04/03/2006 13:11:31 	150 m			172 m	0:00:06	103 kph	243° true
Trackpoint	N55 47.995 E37 16.927	04/03/2006 13:11:42 	147 m			320 m	0:00:11	105 kph	240° true
Trackpoint	N55 47.903 E37 16.640	04/03/2006 13:11:54 	145 m			344 m	0:00:12	103 kph	240° true
Trackpoint	N55 47.837 E37 16.417	04/03/2006 13:12:03 	144 m			263 m	0:00:09	105 kph	242° true
Trackpoint	N55 47.756 E37 16.137	04/03/2006 13:12:14 	144 m			328 m	0:00:11	107 kph	243° true
Trackpoint	N55 47.713 E37 16.021	04/03/2006 13:12:19 	144 m			146 m	0:00:05	105 kph	237° true
Trackpoint	N55 47.662 E37 15.913	04/03/2006 13:12:24 	143 m			146 m	0:00:05	105 kph	230° true
Trackpoint	N55 47.595 E37 15.794	04/03/2006 13:12:30 	143 m			177 m	0:00:06	106 kph	225° true
