Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	Александрийский столб		User Waypoint	N59 56.336 E30 18.937	15 m				Symbol & Name	Unknown	Waypoint
Waypoint	Гостиница в Репино		User Waypoint	N60 09.782 E29 51.325	-11 m				Symbol & Name	Unknown	Waypoint

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course	Satellites

Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:42:16 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:42:20 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:42:31 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:42:35 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:42:39 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 08:22:33 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 08:22:37 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 08:22:43 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 08:42:33 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 08:42:37 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 08:42:41 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 08:52:33 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:08:12 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:08:17 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:08:40 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:09:10 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:09:41 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:10:11 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:10:41 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:11:11 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:11:40 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:12:11 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:12:41 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:13:12 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:13:42 	0 m			0 m	0:00:10	2 kph	235° true	3	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:14:12 	0 m			0 m	0:00:10	2 kph	235° true	11	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:14:41 	0 m			0 m	0:00:10	2 kph	235° true	9	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 09:15:29 	0 m			0 m	0:00:10	2 kph	235° true	10	0.0
Trackpoint	N55 44.309 E37 35.952	18/04/2012 09:15:42 	0 m			0 m	0:00:10	2 kph	235° true	8	0.0
